Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status,YYYY,Month,DD,hr
1/2/2018 9:00,99999,-15,13.1,19.3,33,573,16.9,26,384,2018,01,02,09
1/2/2018 10:00,99999,27,16.6,19.3,31,573,20.9,19,0,2018,01,02,10
1/2/2018 11:00,6693,37,16.6,20.9,27,572,27.6,12,0,2018,01,02,11
1/2/2018 12:00,34,35,16.6,21.8,24,572,29.9,10,0,2018,01,02,12
1/2/2018 13:00,25,14,16.6,22.7,23,572,31.1,9,0,2018,01,02,13
1/4/2018 10:00,99999,-15,14.7,20.1,35,574,19.1,25,384,2018,01,04,10
1/4/2018 11:00,96667,24,16.6,20.7,37,574,22.8,21,0,2018,01,04,11
1/4/2018 12:00,33,42,16.6,21.7,38,573,28.9,16,0,2018,01,04,12
1/4/2018 13:00,33,37,16.6,22.2,33,573,30.6,13,0,2018,01,04,13
1/4/2018 14:00,39,42,16.6,23.7,29,572,31.9,12,0,2018,01,04,14
1/4/2018 15:00,34,43,16.6,23.2,31,572,32.4,12,0,2018,01,04,15
1/4/2018 16:00,38,40,16.6,23.1,30,572,30.9,13,0,2018,01,04,16
1/4/2018 17:00,43,41,16.6,22.3,31,572,30.2,13,0,2018,01,04,17
1/4/2018 18:00,27,24,16.6,19.6,36,572,27.8,14,0,2018,01,04,18
1/4/2018 19:00,28,44,16.6,17.9,41,573,25.5,17,0,2018,01,04,19
1/4/2018 20:00,36,33,16.6,17.1,45,573,24.2,19,0,2018,01,04,20
1/4/2018 21:00,41,57,16.6,16,50,574,23.4,20,0,2018,01,04,21
1/4/2018 22:00,101,158,16.6,15.1,54,574,22.6,21,0,2018,01,04,22
1/4/2018 23:00,136,136,16.6,14.5,56,574,22.1,21,0,2018,01,04,23
1/5/2018 0:00,112,103,16.6,14,57,573,21.6,22,0,2018,01,05,00
1/5/2018 1:00,97,101,16.6,13.3,59,573,21.1,23,0,2018,01,05,01
1/5/2018 2:00,78,66,16.6,13.2,58,573,20.7,23,0,2018,01,05,02
1/5/2018 3:00,57,55,16.6,13.6,56,572,20.9,23,0,2018,01,05,03
1/5/2018 4:00,53,67,16.6,14.1,54,573,21.4,22,0,2018,01,05,04
1/5/2018 5:00,81,101,16.6,14.1,55,573,21.8,21,0,2018,01,05,05
1/5/2018 6:00,90,97,16.6,14,58,573,21.9,22,0,2018,01,05,06
1/5/2018 7:00,82,98,16.6,14,58,574,21.8,22,0,2018,01,05,07
1/5/2018 8:00,115,132,16.6,14.6,57,574,22.1,21,0,2018,01,05,08
1/5/2018 10:00,99999,99,16.2,18,47,574,19.3,28,384,2018,01,05,10
1/5/2018 11:00,43364,48,16.6,20,40,573,25.1,19,0,2018,01,05,11
1/5/2018 12:00,40,41,16.6,21.6,35,573,29.1,15,0,2018,01,05,12
1/5/2018 13:00,33,25,16.6,22.6,31,572,31,13,0,2018,01,05,13
1/5/2018 14:00,20,31,16.6,23.1,29,571,32,12,0,2018,01,05,14
1/5/2018 15:00,26,25,16.6,23.1,29,571,32.2,11,0,2018,01,05,15
1/5/2018 16:00,25,24,16.6,22.1,31,571,31.3,12,0,2018,01,05,16
